Abstand (µm),Decimals, Al Kα1,Ti Kα1,Ta Lα1,Nb Lα1,Mo Lα1,
13,6040948999901,624,1246,111,104,72,
13,6907451859773,615,1188,119,102,62,
13,7773954719645,600,1283,108,89,75,
13,8640457579517,648,1208,122,94,67,
13,9506960439389,677,1189,116,102,77,
14,0373463299261,671,1203,112,114,63,
14,1239966159133,646,1202,116,92,60,
14,2106469019005,647,1126,120,98,56,
14,2972971878876,635,1150,104,93,84,
14,3839474738748,673,1195,111,89,79,
14,470597759862,658,1199,112,115,70,
14,5572480458492,639,1185,114,93,74,
14,6438983318364,659,1184,108,99,71,
14,7305486178236,663,1174,101,87,73,
14,8171989038108,638,1164,107,99,64,
14,903849189798,641,1135,106,94,69,
14,9904994757852,716,1150,129,81,83,
15,0771497617724,674,1221,119,102,68,
15,1638000477596,678,1204,117,86,73,
15,2504503337468,697,1182,132,97,81,
15,337100619734,652,1163,121,92,71,
15,4237509057212,614,1132,99,102,61,
15,5104011917084,657,1194,128,92,62,
15,5970514776956,649,1181,112,95,68,
15,6837017636828,628,1175,98,103,77,
15,77035204967,644,1190,102,100,72,
15,8570023356572,635,1202,143,103,77,
15,9436526216444,636,1223,114,110,70,
16,0303029076316,626,1141,111,100,80,
16,1169531936188,649,1177,104,96,81,
16,203603479606,635,1146,120,85,84,
16,2902537655932,678,1160,99,94,78,
16,3769040515804,692,1230,125,81,66,
16,4635543375676,648,1188,86,89,90,
16,5502046235548,690,1205,109,113,54,
16,636854909542,661,1142,84,84,67,
16,7235051955292,683,1186,87,96,67,
16,8101554815164,632,1193,88,91,63,
16,8968057675036,631,1182,92,89,58,
16,9834560534908,683,1172,105,95,68,
17,070106339478,649,1174,101,100,72,
17,1567566254652,625,1243,84,96,61,
17,2434069114524,651,1250,87,90,64,
17,3300571974396,652,1250,98,106,73,
17,4167074834268,660,1235,79,91,62,
17,503357769414,640,1318,94,86,68,
17,5900080554012,672,1261,87,108,60,
17,6766583413884,623,1248,91,87,64,
17,7633086273756,635,1216,71,87,66,
17,8499589133628,594,1273,83,96,77,
17,93660919935,673,1230,87,91,89,
18,0232594853372,575,1246,90,106,80,
18,1099097713244,626,1275,92,92,78,
18,1965600573116,620,1289,76,100,72,
18,2832103432988,619,1263,88,91,77,
18,369860629286,659,1240,85,107,70,
18,4565109152732,599,1240,74,107,71,
18,5431612012603,602,1291,71,105,67,
18,6298114872475,641,1263,82,88,86,
18,7164617732347,625,1307,77,101,66,
18,8031120592219,609,1275,81,86,62,
18,8897623452091,633,1233,84,112,70,
18,9764126311963,590,1268,63,93,74,
19,0630629171835,642,1242,64,97,85,
19,1497132031707,600,1261,65,80,68,
19,2363634891579,653,1256,74,107,70,
19,3230137751451,677,1248,65,109,74,
19,4096640611323,646,1328,85,104,73,
19,4963143471195,622,1279,75,124,71,
19,5829646331067,661,1263,65,91,81,
19,6696149190939,652,1284,70,104,68,
19,7562652050811,697,1270,66,92,71,
19,8429154910683,676,1251,84,105,71,
19,9295657770555,714,1311,66,105,65,
20,0162160630427,657,1286,58,105,76,
20,1028663490299,696,1266,76,101,88,
20,1895166350171,694,1317,72,98,80,
20,2761669210043,664,1265,65,117,66,
20,3628172069915,673,1309,72,105,72,
20,4494674929787,618,1252,65,110,74,
20,5361177789659,627,1358,69,101,80,
20,6227680649531,632,1321,79,102,85,
20,7094183509403,631,1237,52,100,71,
20,7960686369275,689,1259,70,110,71,
20,8827189229147,660,1286,58,109,96,
20,9693692089019,670,1295,72,103,83,
21,0560194948891,653,1332,76,116,82,
21,1426697808763,629,1355,52,103,87,
21,2293200668635,652,1356,47,115,75,
21,3159703528507,651,1388,66,116,64,
21,4026206388379,627,1368,63,115,70,
21,4892709248251,646,1289,56,133,71,
21,5759212108123,653,1269,61,114,72,
21,6625714967995,656,1273,67,110,98,
21,7492217827867,675,1273,65,99,81,
21,8358720687739,612,1333,52,116,80,
21,9225223547611,652,1363,55,96,92,
22,0091726407483,672,1333,58,102,66,
22,0958229267355,692,1372,54,113,80,
22,1824732127227,611,1360,64,112,89,
22,2691234987099,634,1384,56,101,90,
22,3557737846971,673,1340,62,117,100,
22,4424240706843,694,1334,55,101,78,
22,5290743566714,667,1331,60,117,93,
22,6157246426586,623,1350,61,104,82,
22,7023749286458,673,1307,55,131,84,
22,789025214633,656,1316,54,116,100,
22,8756755006202,649,1373,49,117,79,
22,9623257866074,653,1348,40,104,78,
23,0489760725946,648,1291,38,127,75,
23,1356263585818,627,1333,51,123,82,
23,222276644569,670,1342,56,116,72,
23,3089269305562,704,1357,47,105,84,
23,3955772165434,655,1334,57,121,86,
23,4822275025306,668,1335,56,107,79,
23,5688777885178,645,1322,55,116,79,
23,655528074505,681,1329,48,125,92,
23,7421783604922,643,1351,54,121,99,
23,8288286464794,661,1350,66,117,85,
23,9154789324666,660,1314,41,122,82,
24,0021292184538,641,1323,61,117,84,
24,088779504441,667,1356,54,118,81,
24,1754297904282,633,1347,54,92,89,
24,2620800764154,645,1392,62,106,81,
24,3487303624026,615,1323,56,105,88,
24,4353806483898,594,1335,62,109,78,
24,522030934377,596,1355,42,124,87,
24,6086812203642,636,1365,53,108,85,
24,6953315063514,690,1273,68,119,74,
24,7819817923386,648,1375,55,119,86,
24,8686320783258,616,1378,55,118,91,
24,955282364313,638,1318,43,108,82,
25,0419326503002,649,1303,53,111,80,
25,1285829362874,638,1318,41,119,83,
25,2152332222746,682,1405,63,121,100,
25,3018835082618,613,1355,44,113,85,
25,388533794249,664,1325,59,98,79,
25,4751840802362,656,1331,65,118,93,
25,5618343662234,640,1289,46,117,70,
25,6484846522106,710,1357,54,99,78,
25,7351349381978,628,1322,59,122,86,
25,821785224185,659,1328,61,112,84,
25,9084355101722,669,1345,47,106,77,
25,9950857961594,625,1344,57,115,78,
26,0817360821466,700,1338,54,130,78,
26,1683863681338,643,1283,61,106,78,
26,255036654121,665,1324,61,116,76,
26,3416869401082,635,1314,73,90,70,
26,4283372260954,629,1348,60,105,79,
26,5149875120826,585,1377,60,109,93,
26,6016377980697,641,1396,49,117,80,
26,6882880840569,613,1311,62,117,84,
26,7749383700441,625,1352,53,129,82,
26,8615886560313,648,1280,65,118,83,
26,9482389420185,653,1335,63,103,83,
27,0348892280057,619,1375,63,134,82,
27,1215395139929,658,1308,63,110,77,
27,2081897999801,652,1381,48,116,93,
27,2948400859673,656,1370,56,120,66,
27,3814903719545,691,1306,55,118,75,
27,4681406579417,630,1362,49,111,74,
27,5547909439289,622,1335,52,111,95,
27,6414412299161,612,1370,74,117,82,
27,7280915159033,647,1315,53,107,92,
27,8147418018905,650,1310,51,124,87,
27,9013920878777,664,1330,53,119,81,
27,9880423738649,638,1292,54,107,66,
28,0746926598521,618,1314,55,108,71,
28,1613429458393,652,1294,58,117,85,
28,2479932318265,653,1303,49,115,79,
28,3346435178137,616,1304,62,111,72,
28,4212938038009,665,1318,49,113,75,
28,5079440897881,680,1360,49,115,72,
28,5945943757753,670,1346,61,102,77,
28,6812446617625,617,1346,52,115,72,
28,7678949477497,664,1350,58,91,78,
28,8545452337369,630,1334,58,109,78,
28,9411955197241,608,1332,59,104,73,
29,0278458057113,659,1316,43,91,83,
29,1144960916985,645,1321,62,109,86,
29,2011463776857,646,1363,44,122,87,
29,2877966636729,629,1339,55,104,76,
29,3744469496601,600,1355,51,122,76,
29,4610972356473,615,1320,53,112,77,
29,5477475216345,597,1360,40,102,86,
29,6343978076217,641,1276,52,106,70,
29,7210480936089,609,1379,50,105,89,
29,8076983795961,625,1368,55,105,65,
29,8943486655833,619,1355,57,115,74,
29,9809989515705,653,1370,58,118,96,
30,0676492375577,645,1293,52,138,82,
30,1542995235449,647,1313,56,116,76,
30,2409498095321,596,1342,53,116,70,
30,3276000955193,632,1381,47,112,79,
30,4142503815065,670,1339,52,115,73,
30,5009006674937,632,1358,59,95,94,
30,5875509534809,663,1394,55,125,81,
30,6742012394681,626,1287,59,124,79,
30,7608515254553,643,1304,50,123,88,
30,8475018114424,612,1317,50,107,82,
30,9341520974296,706,1406,65,89,79,
31,0208023834168,643,1369,55,114,70,
31,107452669404,660,1314,43,92,83,
31,1941029553912,680,1347,57,106,91,
31,2807532413784,682,1341,47,106,84,
31,3674035273656,679,1378,51,107,71,
31,4540538133528,667,1343,60,115,98,
31,54070409934,637,1368,67,100,86,
31,6273543853272,679,1341,45,107,84,
31,7140046713144,646,1336,59,99,97,
31,8006549573016,714,1305,49,127,85,
31,8873052432888,687,1318,53,108,85,
31,973955529276,690,1349,55,102,88,
32,0606058152632,719,1355,52,111,68,
32,1472561012504,683,1388,67,103,99,
32,2339063872376,672,1271,58,98,77,
32,3205566732248,666,1267,52,119,90,
32,407206959212,679,1319,57,119,82,
