Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
19,2017697416983,95,249,19,10,
19,3050050628902,113,228,19,16,
19,4082403840821,113,227,23,14,
19,5114757052741,106,243,13,19,
19,614711026466,114,210,19,18,
19,7179463476579,117,216,13,15,
19,8211816688498,111,214,19,15,
19,9244169900418,108,216,13,15,
20,0276523112337,116,233,16,20,
20,1308876324256,107,220,18,10,
20,2341229536176,118,222,22,14,
20,3373582748095,123,230,25,16,
20,4405935960014,100,206,11,16,
20,5438289171933,104,220,14,14,
20,6470642383853,112,251,21,23,
20,7502995595772,113,220,17,24,
20,8535348807691,113,226,27,13,
20,956770201961,96,201,16,25,
21,060005523153,100,176,13,16,
21,1632408443449,104,191,16,9,
21,2664761655368,100,210,20,13,
21,3697114867287,92,235,11,21,
21,4729468079207,98,214,15,18,
21,5761821291126,76,248,20,16,
21,6794174503045,100,202,17,12,
21,7826527714964,98,226,18,20,
21,8858880926884,97,218,18,16,
21,9891234138803,89,216,14,23,
22,0923587350722,92,230,22,14,
22,1955940562641,87,235,11,16,
22,2988293774561,81,195,10,17,
22,402064698648,83,193,16,15,
22,5053000198399,103,232,12,15,
22,6085353410319,89,199,23,12,
22,7117706622238,70,208,11,18,
22,8150059834157,93,202,14,20,
22,9182413046076,96,212,14,18,
23,0214766257996,96,190,16,20,
23,1247119469915,109,204,17,13,
23,2279472681834,103,213,24,19,
23,3311825893753,87,207,15,19,
23,4344179105673,91,199,14,21,
23,5376532317592,85,199,16,23,
23,6408885529511,113,191,15,18,
23,744123874143,101,205,12,22,
23,847359195335,117,209,14,14,
23,9505945165269,111,200,19,21,
24,0538298377188,116,216,10,15,
24,1570651589108,116,233,16,22,
24,2603004801027,87,185,13,17,
24,3635358012946,106,197,11,16,
24,4667711224865,125,212,14,17,
24,5700064436785,93,210,10,25,
24,6732417648704,99,198,20,17,
24,7764770860623,124,192,12,14,
24,8797124072542,98,229,20,15,
24,9829477284462,118,196,20,17,
25,0861830496381,104,197,14,20,
25,18941837083,115,187,8,10,
25,2926536920219,97,210,14,17,
25,3958890132139,89,196,8,14,
25,4991243344058,115,209,15,23,
25,6023596555977,95,207,17,20,
25,7055949767896,122,207,14,17,
25,8088302979816,121,210,18,23,
25,9120656191735,109,203,14,26,
26,0153009403654,136,198,16,18,
26,1185362615573,117,224,15,21,
26,2217715827493,102,209,23,18,
26,3250069039412,117,184,22,20,
26,4282422251331,129,208,15,17,
26,531477546325,104,184,21,20,
26,634712867517,109,190,20,24,
