Abstand (µm),Decimals,Ti Kα1,Al Kα1,Ta Lα1,Nb Lα1,
21,9291055428638,377,167,30,27,
22,047003959761,369,166,39,28,
22,1649023766581,383,164,44,28,
22,2828007935552,417,177,35,23,
22,4006992104523,349,166,25,30,
22,5185976273494,342,183,35,29,
22,6364960442465,373,167,32,30,
22,7543944611437,355,180,44,24,
22,8722928780408,378,171,26,26,
22,9901912949379,354,137,34,26,
23,108089711835,328,173,33,27,
23,2259881287321,377,153,41,22,
23,3438865456292,366,160,47,28,
23,4617849625264,336,155,38,29,
23,5796833794235,373,165,35,21,
23,6975817963206,345,135,36,29,
23,8154802132177,386,152,31,33,
23,9333786301148,334,149,45,25,
24,051277047012,381,165,40,26,
24,1691754639091,390,176,44,30,
24,2870738808062,365,153,43,32,
24,4049722977033,326,161,46,25,
24,5228707146004,348,152,39,24,
24,6407691314975,342,160,41,28,
24,7586675483947,348,176,26,21,
24,8765659652918,369,140,47,25,
24,9944643821889,377,135,36,25,
25,112362799086,351,173,46,19,
25,2302612159831,386,169,42,25,
25,3481596328802,396,152,48,34,
25,4660580497774,349,167,42,21,
25,5839564666745,362,144,44,19,
25,7018548835716,334,171,47,33,
25,8197533004687,356,167,40,24,
25,9376517173658,376,183,38,20,
26,055550134263,366,186,31,28,
26,1734485511601,383,159,36,32,
26,2913469680572,387,151,42,32,
26,4092453849543,399,175,42,26,
26,5271438018514,373,195,41,31,
26,6450422187485,353,179,38,35,
26,7629406356457,364,179,39,16,
26,8808390525428,414,154,45,33,
26,9987374694399,356,182,39,23,
27,116635886337,361,191,55,35,
27,2345343032341,354,186,37,37,
27,3524327201312,321,212,39,23,
27,4703311370284,417,202,46,30,
27,5882295539255,368,214,41,34,
27,7061279708226,351,190,36,36,
27,8240263877197,394,199,41,33,
27,9419248046168,414,218,33,26,
28,0598232215139,383,204,30,34,
28,1777216384111,369,176,38,35,
28,2956200553082,408,183,36,29,
28,4135184722053,415,184,33,34,
28,5314168891024,382,167,35,28,
28,6493153059995,394,202,39,29,
28,7672137228967,399,191,38,37,
28,8851121397938,390,197,40,30,
29,0030105566909,337,219,54,30,
29,120908973588,374,189,35,27,
29,2388073904851,361,214,53,39,
29,3567058073822,388,209,45,27,
29,4746042242794,401,223,42,28,
29,5925026411765,357,220,38,32,
29,7104010580736,443,204,43,33,
29,8282994749707,390,192,41,38,
29,9461978918678,399,199,38,43,
30,0640963087649,365,202,41,27,
30,1819947256621,387,242,34,37,
30,2998931425592,410,222,30,34,
30,4177915594563,384,214,28,40,
30,5356899763534,386,231,34,39,
30,6535883932505,406,233,34,27,
30,7714868101476,391,210,39,38,
30,8893852270448,411,236,28,33,
31,0072836439419,402,223,33,26,
31,125182060839,380,233,32,33,
31,2430804777361,413,225,30,29,
31,3609788946332,426,224,27,34,
31,4788773115304,355,245,23,34,
31,5967757284275,416,231,31,39,
31,7146741453246,415,240,22,31,
31,8325725622217,450,235,29,39,
31,9504709791188,437,256,22,46,
32,0683693960159,416,216,32,38,
32,1862678129131,446,229,27,44,
32,3041662298102,440,225,35,43,
32,4220646467073,444,224,19,32,
32,5399630636044,405,222,21,37,
32,6578614805015,394,259,20,31,
32,7757598973986,406,242,24,32,
32,8936583142958,428,222,24,31,
33,0115567311929,408,236,31,42,
33,12945514809,396,229,25,45,
33,2473535649871,448,226,25,34,
33,3652519818842,400,236,20,41,
33,4831503987814,426,216,31,26,
33,6010488156785,431,208,20,47,
33,7189472325756,433,234,21,35,
33,8368456494727,433,228,29,43,
33,9547440663698,465,191,22,32,
34,0726424832669,433,232,25,33,
34,1905409001641,420,202,28,25,
34,3084393170612,418,214,23,39,
34,4263377339583,404,214,28,42,
34,5442361508554,423,218,25,36,
34,6621345677525,428,194,20,42,
34,7800329846496,457,217,14,47,
34,8979314015468,400,206,24,34,
35,0158298184439,419,251,26,43,
35,133728235341,421,222,26,31,
35,2516266522381,425,237,22,30,
35,3695250691352,413,224,33,44,
35,4874234860323,436,256,23,38,
35,6053219029295,420,234,26,48,
35,7232203198266,392,236,25,42,
35,8411187367237,424,234,22,42,
35,9590171536208,441,236,27,39,
36,0769155705179,407,275,20,42,
36,194813987415,432,241,25,46,
36,3127124043122,441,276,29,50,
